period,separationsCount,attritionRate,headcount,ageMeanYrs,tenureMeanYrs,recognitionEvents,supervisorsCount,lowPerffCount,highPerfCount,timeID
201001,109,0.007338090749966339,14854,38.50186818365423,10.211699430007629,0,2173,404,5727,1
201002,94,0.0063350855910500065,14838,38.57552680055713,10.263714786359348,0,2173,401,5728,2
201003,69,0.004629629629629629,14904,38.56894681517266,10.263480721059222,0,2172,397,5724,3
201004,102,0.006825025092004015,14945,38.624339243894276,10.302838184454108,0,2184,391,5735,4
201005,115,0.007651873045445472,15029,38.59732849823674,10.289124359571495,0,2179,388,5752,5
201006,108,0.007194723869162614,15011,38.67692025847712,10.334332600537383,0,2175,383,5754,6
201007,121,0.008061829568925311,15009,38.73871232815866,10.365097608101806,0,2188,383,5746,7
201008,103,0.006785690756966862,15179,38.69399609109076,10.291943913740475,0,2207,380,5777,8
201009,140,0.006437965602869493,21746,37.99082206689353,7.250486679542598,0,3167,599,6574,9
201010,238,0.010659261913292726,22328,37.83440821688762,7.118528305266929,0,3200,604,6717,10
201011,192,0.008483937961203659,22631,37.735200978009516,7.093286494925839,0,3195,620,6949,11
201012,140,0.006168216063796978,22697,37.78507438574848,7.156558869747838,0,3215,597,7182,12
201101,213,0.009240780911062906,23050,37.745318148951554,7.152187274041938,0,3276,625,7646,13
201102,191,0.00827699774657653,23076,37.8041038308199,7.212135985439417,0,3279,625,7687,14
201103,282,0.01208122697283866,23342,37.729928883557534,7.182742838374318,0,3291,607,7797,15
201104,185,0.007897882513661202,23424,37.729910206056466,7.467828580373406,0,3298,606,8002,16
201105,273,0.011606155939120823,23522,37.73885794858714,7.495110959952385,0,3329,489,8219,17
201106,181,0.007191100516487883,25170,37.61381274003443,7.60054959607999,0,3679,471,8650,18
201107,201,0.00788018975183283,25507,37.551201630924844,7.598636322055383,0,3715,486,8676,19
201108,295,0.011537859824780975,25568,37.60113553400083,8.269907697121402,0,3724,480,8682,20
201109,286,0.011174057433092402,25595,37.62007227974214,9.368037377091879,0,3757,485,8705,21
201110,320,0.013074031704526883,24476,37.70491501879392,9.253074440268017,0,3580,409,8623,22
201111,353,0.014418756637529614,24482,37.73238842142526,9.24643275331536,0,3562,383,8896,23
201112,268,0.010919610479566475,24543,37.69939493949395,9.205951459343465,0,3573,380,9212,24
201201,222,0.009005719849093343,24651,37.744729760794016,9.194265276594594,0,3593,472,10156,25
201202,149,0.0060010471625921305,24829,37.70709318404554,9.172895941573698,0,3640,491,10229,26
201203,131,0.005263369359958215,24889,37.739513439672145,9.214987879518395,0,3651,496,10266,27
201204,212,0.008453624690964192,25078,37.739798495361136,9.216973044102401,0,3666,492,10314,28
201205,231,0.009184160305343511,25152,37.7964774173028,9.242598335453774,0,3652,480,10338,29
201206,194,0.007701468836840016,25190,37.85264986105597,9.269819372766971,0,3666,482,10354,30
201207,238,0.009349833038695738,25455,37.80651803836836,9.232567275584364,0,3703,480,10434,31
201208,183,0.0071722516166960616,25515,37.85109412763734,9.329038474100203,0,3724,474,10451,32
201209,181,0.0070983175810816115,25499,37.83936624965685,9.368560204975358,0,3743,469,10438,33
201210,243,0.009446431348157362,25724,37.93358990307365,9.390889830508474,0,3773,475,10518,34
201211,191,0.007374517374517374,25900,37.92516731016731,9.368429858429858,0,3781,479,10645,35
201212,188,0.007259808464627742,25896,37.9097672742251,9.34220857790135,0,3777,475,10850,36
201301,232,0.008988764044943821,25810,38.05612811571742,9.50806212062508,0,3776,553,10773,37
201302,124,0.004828660436137072,25680,38.15000649013499,9.606610202492211,0,3785,551,10713,38
201303,123,0.0047930792611643675,25662,38.12640285246668,9.595751175538409,0,3786,564,10716,39
201304,193,0.007515283672754176,25681,38.23502784159495,9.733700660670015,0,3777,578,10710,40
201305,270,0.010496034831285958,25724,38.134627844295856,9.672922173845436,0,3770,610,10654,41
201306,259,0.010115211872681117,25605,38.24738657814229,9.764362429213044,0,3768,617,10633,42
201307,275,0.010699556454750602,25702,38.35315020880346,9.862831686250098,0,3800,640,10635,43
201308,224,0.008745558895873189,25613,38.43176316714169,9.933445255664441,0,3821,658,10590,44
201309,191,0.007954356155255705,24012,38.129272169470816,9.492375340107724,0,3683,520,9987,45
201310,275,0.01164218280343762,23621,38.13955449247139,9.463651694113993,0,3582,560,9701,46
201311,191,0.008108337578536254,23556,38.19024876889115,9.532454576328748,0,3561,714,9627,47
201312,183,0.006253203485392106,29265,37.88354974656871,9.187664445583462,0,3796,917,9657,48
201401,250,0.008537376634907626,29283,38.03564354745074,9.502990927614428,0,3819,1166,9564,49
201402,147,0.005141118455566048,28593,37.8727223446298,9.419359633476725,0,3785,1136,9137,50
201403,134,0.004671919670873719,28682,37.914595100295195,9.435464751412036,0,3828,1126,9133,51
201404,164,0.0058756090570364,27912,37.990670082162985,9.533820578962453,0,4256,1119,8867,52
201405,274,0.009787811673930127,27994,37.93261353623395,9.468573622919196,0,4342,1133,8871,53
201406,246,0.008822896492360663,27882,38.04655034311264,9.547978982856323,0,4349,1131,8828,54
201407,316,0.011274439845868418,28028,38.149933399933396,9.917475381761095,1340,4351,1147,8846,55
201408,220,0.007826396300249021,28110,38.165519388118106,9.916141942369263,2342,4352,1142,8830,56
201409,176,0.0062155671705043086,28316,38.06984272731554,9.807664688986202,2672,4377,1144,8840,57
201410,320,0.011107639973619354,28809,38.06287965566316,9.776502134749558,4070,4398,1256,8852,58
201411,199,0.006907084099822984,28811,37.94208519894022,9.651134404683397,3217,4379,1288,8790,59
201412,218,0.007560781049491902,28833,37.96626261575278,9.643027665059712,3772,4397,1301,8711,60
201501,227,0.00779532967032967,29120,38.00209191849817,9.661555631868131,4132,4393,1362,8689,61
201502,104,0.003576464114997077,29079,37.973947407636665,9.627041851507961,3763,4398,1346,8649,62
201503,166,0.005686684251995478,29191,38.10617142269878,9.744087789615522,4351,4433,1376,8471,63
201504,154,0.005270002053247553,29222,38.172364428626835,9.78591757351767,6298,4452,1323,7500,64
201505,257,0.00875042560435819,29370,38.17719044376348,9.773779934173193,3515,4484,1305,7446,65
201506,271,0.009253568257870656,29286,38.277217214141,9.833142684786816,4082,4528,1278,7400,66
201507,285,0.009724307356353214,29308,38.35918804876939,9.873777353168647,4699,4560,1229,7374,67
201508,195,0.006670315386194158,29234,38.43135561332695,9.911815009919957,4450,4579,1186,7341,68
201509,188,0.006405451448040886,29350,38.47298126064736,9.92072969903464,4169,4618,1158,7300,69
201510,279,0.009391409721287195,29708,38.39905076073785,9.846088034648355,5209,4666,1136,7278,70
201511,184,0.006159614354579539,29872,38.39017586145331,9.820291577396894,3927,4680,1111,7233,71
201512,201,0.006689519752387926,30047,38.407999689375536,9.814260436427375,4235,4691,1096,7204,72
201601,211,0.006978436301098029,30236,38.442273559112756,9.803867905807646,5296,4715,1080,7176,73
201602,128,0.00423981450811527,30190,38.50672408082146,9.858060064038865,5609,4738,1066,7155,74
201603,84,0.00278468423669816,30165,38.579156306978284,9.922133819548042,7267,4747,1049,7243,75
201604,188,0.006212206324554737,30263,38.61401160933593,9.954347442972166,5434,4737,1359,9344,76
201605,296,0.009863378873708764,30010,38.66010496501166,10.027965678107298,5401,4762,1287,9623,77
201606,177,0.005898033988670443,30010,38.712895701432856,10.057289236921026,5459,4821,1224,9764,78
201607,249,0.008214297496123775,30313,38.65379815040851,10.007483038080471,6297,4873,1206,9769,79
201608,194,0.006371309402607639,30449,38.622431497476654,9.998095175539428,4817,4888,1170,9736,80
201609,206,0.006743485661909127,30548,38.63634553271354,10.013189625070927,7394,4912,1083,9583,81
201610,216,0.0070558259562930785,30613,38.65647491806313,10.044088023606529,6211,4917,1045,9525,82
201611,167,0.005460371436044991,30584,38.697456186241176,10.097946093818118,4889,4861,948,9419,83
201612,194,0.006499597963012597,29848,38.56216217725364,10.144844992405968,6677,4833,873,8756,84
201701,295,0.009892026021058278,29822,38.611547962354415,10.182479936512195,5619,4799,827,8651,85
201702,164,0.0055606415081544775,29493,38.60484691282677,10.206365352230472,4623,4762,799,8614,86
201703,124,0.004217687074829932,29400,38.641122448979594,10.23625,7516,4763,1022,9008,87
201704,218,0.006667278343578922,32697,38.422857346749446,10.093275631811277,6174,4981,995,8990,88
201705,306,0.00939601437037492,32567,38.48768180468982,10.141439186906991,4476,4987,957,8906,89
201706,270,0.008331790409183484,32406,38.58834012219959,10.200883581229814,6607,5107,957,8903,90
201707,299,0.009220995497440326,32426,38.633092785624704,10.203008388330352,6305,5088,933,8838,91
201708,230,0.007105344454742045,32370,38.676034908866235,10.21300329523221,5205,5080,900,8798,92
201709,186,0.005741626794258373,32395,38.73023100272676,10.239005504964757,6243,5130,877,8660,93
201710,287,0.00878293601003764,32677,38.713304974956905,10.18103967112444,7155,5107,867,8620,94
201711,193,0.005892769907181241,32752,38.25960246702491,10.179482677902621,6815,4987,855,8566,95
201712,188,0.0057919221171323825,32459,38.61778191975518,9.98750988426425,5634,4937,846,8427,96
201801,230,0.007028265851795263,32725,38.714479246243954,10.04166030048383,6478,5005,894,8451,97
201802,127,0.003894391463003281,32611,38.74211922357487,10.08822943178682,5751,4986,942,8431,98
201803,66,0.0020219968750957384,32641,38.654675101865756,10.000354870663685,7344,4987,1472,8887,99
201804,218,0.006608463683763793,32988,38.74235075380947,10.044890061032294,6575,4997,1492,8865,100
201805,283,0.008563560988894605,33047,38.76807778820064,10.057113101542248,10340,5059,1444,8829,101
201806,225,0.006799431869692666,33091,38.796639066009895,10.069371833227565,7430,5082,1394,8783,102
201807,216,0.006474820143884892,33360,38.799557853717026,10.027303157474021,7226,5104,1364,8754,103
201808,204,0.0060930079746722024,33481,38.83010513425525,10.016628834264209,6995,5118,1335,8728,104
201809,199,0.005929501504722744,33561,38.74338517922589,9.925555952842089,7781,5140,1307,8689,105
201810,217,0.006419168762017453,33805,38.82292806784006,9.984792683528077,7888,5199,1278,8558,106
201811,180,0.005273180020506811,34135,38.731038523509596,9.911364191201601,8224,5216,1252,8513,107
201812,109,0.003171093590899834,34373,38.6207464191856,9.80673542218214,9586,5192,1237,8487,108
201901,226,0.006514282420084744,34693,38.67319295919446,9.827150529885952,8156,5224,1213,8454,109
201902,103,0.0029639434836407587,34751,38.700879111392474,9.835443584357284,7410,5211,2082,9127,110
201903,78,0.0022220323049312023,35103,38.60425272293916,9.715105071741258,9644,5233,2100,9124,111
201904,190,0.005356035406213001,35474,38.68356871699461,9.763625002349139,7782,5278,2137,9110,112
201905,270,0.007636610476298223,35356,38.517960176490554,9.61235716710035,7188,5279,1817,9065,113
201906,214,0.006096345041734325,35103,38.45829891082433,9.576244670446021,9373,5270,1652,8908,114
201907,233,0.006623269564228659,35179,38.4848726039209,9.568265158190966,9562,5285,1409,8840,115
201908,26,7.446442891511055e-4,34916,38.413814583572,9.480417287203574,7916,5270,1031,8785,116
201909,178,0.005053659644540344,35222,38.272911816478334,9.342063672326008,10332,5332,1017,8746,117
